Type of Permit,New Units Permitted,Net Units Permitted,Type of Dwelling Unit,Issued Date,Year Issued,Year Finaled,Urban Village Name,Urban Village Type,Neighborhood,Council District,Longitude,Latitude,GEOID20,Type of Dwelling Unit per Code
Construction Permit,6,6,MF,4/29/2024 8:00,2024,2025,Crown Hill,Residential Urban Village,Ballard,6,-122.3719279,47.68884712,5.30E+14,Rowhouse
Construction Permit,5,5,MF,2/6/2019 8:00,2019,2021,Capitol Hill,Urban Center Village,East,3,-122.3163175,47.62411025,5.30E+14,Townhouse
Construction Permit,1,1,ADU,7/10/2023 8:00,2023,2024,Outside Villages,Outside Villages,North,5,-122.3145951,47.70370312,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,7/10/2023 8:00,2023,2024,Outside Villages,Outside Villages,North,5,-122.3145951,47.70370312,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,12/7/2022 8:00,2022,2023,Outside Villages,Outside Villages,North,5,-122.314849,47.72648095,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,2,2,MF,6/22/2019 8:00,2019,2020,12th Avenue,Urban Center Village,East,3,-122.3162071,47.60729145,5.30E+14,Rowhouse
Construction Permit,1,1,SF,4/10/2023 8:00,2023,2024,Outside Villages,Outside Villages,North,5,-122.3143312,47.6992188,5.30E+14,Detached Single-Family
Construction Permit,2,2,ADU,4/10/2023 8:00,2023,2024,Outside Villages,Outside Villages,North,5,-122.3143312,47.6992188,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,DADU,1/7/2025 8:00,2025,2025,Outside Villages,Outside Villages,Greater Duwamish,2,-122.3166339,47.55548865,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,3,3,MF,12/20/2018 8:00,2018,2019,Commercial Core,Urban Center Village,Downtown,7,-122.3387637,47.60611613,5.30E+14,Apartment
Construction Permit,2,2,MF,4/13/2021 8:00,2021,2021,Commercial Core,Urban Center Village,Downtown,7,-122.3387637,47.60611613,5.30E+14,Apartment
Construction Permit,1,1,ADU,7/27/2018 8:00,2018,2019,Outside Villages,Outside Villages,North,5,-122.3142441,47.69376495,5.30E+14,"Accessory Dwelling, Attached"
