Type of Permit,New Units Permitted,Net Units Permitted,Type of Dwelling Unit,Issued Date,Year Issued,Year Finaled,Urban Village Name,Urban Village Type,Neighborhood,Council District,Longitude,Latitude,GEOID20,Type of Dwelling Unit per Code
Demolition Permit,0,-1,SF,4/20/2015 8:00,2015,2015,Outside Villages,Outside Villages,North,5,-122.2849391,47.71445022,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,4/21/2015 8:00,2015,2015,Outside Villages,Outside Villages,North,5,-122.2849391,47.71445022,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,4/5/2016 8:00,2016,2016,Outside Villages,Outside Villages,North,5,-122.2798676,47.71434784,5.30E+14,"Accessory Dwelling, Attached"
Demolition Permit,0,-1,SF,12/1/2016 8:00,2016,2017,Outside Villages,Outside Villages,North,5,-122.291299,47.71459275,5.30E+14,Detached Single-Family
Demolition Permit,0,-1,SF,11/26/2007 8:00,2007,2017,Outside Villages,Outside Villages,North,5,-122.3049151,47.71475454,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,1/17/2014 8:00,2014,2014,Outside Villages,Outside Villages,Northwest,5,-122.3317075,47.71528341,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,3/22/2016 8:00,2016,2017,Outside Villages,Outside Villages,Northwest,5,-122.33445,47.71542081,5.30E+14,"Accessory Dwelling, Detached"
Demolition Permit,0,-1,SF,11/10/2005 8:00,2005,2017,Outside Villages,Outside Villages,North,5,-122.2828993,47.71512678,5.30E+14,Detached Single-Family
Construction Permit,5,5,MF,6/8/2016 8:00,2016,2017,Northgate,Urban Center,Northwest,5,-122.33529,47.71573234,5.30E+14,Rowhouse
Construction Permit,6,6,MF,6/22/2013 8:00,2013,2015,Pike/Pine,Urban Center Village,East,3,-122.3146367,47.61606757,5.30E+14,Townhouse
Demolition Permit,0,-1,SF,7/23/2013 8:00,2013,2014,Pike/Pine,Urban Center Village,East,3,-122.3146367,47.61606757,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,12/13/2012 8:00,2012,2013,Outside Villages,Outside Villages,Central,3,-122.3019001,47.61598742,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,10/27/2016 8:00,2016,2021,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3693596,47.63426551,5.30E+14,Detached Single-Family
Construction Permit,1,1,MF,7/18/2014 8:00,2014,2015,12th Avenue,Urban Center Village,East,3,-122.3161739,47.60569197,5.30E+14,Apartment
Construction Permit,1,1,SF,9/19/2013 8:00,2013,2014,Outside Villages,Outside Villages,Ballard,6,-122.3720338,47.68538659,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,12/31/2013 8:00,2013,2014,Outside Villages,Outside Villages,Northeast,3,-122.3162887,47.64658363,5.30E+14,Detached Single-Family
Demolition Permit,0,-1,SF,5/8/2014 8:00,2014,2014,Outside Villages,Outside Villages,Northeast,3,-122.3162887,47.64658363,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,1/21/2015 8:00,2015,2016,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3701472,47.63033905,5.30E+14,Detached Single-Family
Demolition Permit,0,-2,MF,7/30/2014 8:00,2014,2016,12th Avenue,Urban Center Village,East,3,-122.3159696,47.60570962,5.30E+14,Townhouse
Construction Permit,1,1,SF,4/15/2014 8:00,2014,2017,South Park,Residential Urban Village,Greater Duwamish,1,-122.3167657,47.52239375,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,11/19/2012 8:00,2012,2014,Outside Villages,Outside Villages,Northwest,5,-122.3136926,47.71447831,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,6/21/2010 8:00,2010,2012,Outside Villages,Outside Villages,Northwest,5,-122.3238031,47.71823775,5.30E+14,Detached Single-Family
Demolition Permit,0,-7,MF,10/10/2017 8:00,2017,2019,First Hill,Urban Center Village,Downtown,2,-122.3190147,47.60107984,5.30E+14,Apartment
Construction Permit,2,2,MF,12/22/2014 8:00,2014,2016,Madison-Miller,Residential Urban Village,Central,3,-122.3006962,47.61962185,5.30E+14,Townhouse
Construction Permit,2,2,MF,1/7/2016 8:00,2016,2017,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.354796,47.63849885,5.30E+14,Apartment
Construction Permit,1,1,SF,2/16/2016 8:00,2016,2016,Outside Villages,Outside Villages,Northwest,5,-122.3569847,47.69798642,5.30E+14,Detached Single-Family
Construction Permit,2,2,MF,9/24/2008 8:00,2008,2013,Lake City,Hub Urban Village,North,5,-122.291718,47.71660832,5.30E+14,Multifamily Ground Level Townhouse
Construction Permit,1,1,DADU,5/1/2015 8:00,2015,2015,Outside Villages,Outside Villages,North,5,-122.3028803,47.71702173,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,MF,3/2/2018 8:00,2018,2020,Lake City,Hub Urban Village,North,5,-122.2935838,47.71714023,5.30E+14,Apartment
Construction Permit,2,2,MF,11/25/2014 8:00,2014,2015,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3451391,47.63004764,5.30E+14,Townhouse
Demolition Permit,0,-1,SF,5/23/2015 8:00,2015,2015,Outside Villages,Outside Villages,Southwest,1,-122.3834844,47.5928232,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,10/21/2015 8:00,2015,2020,Outside Villages,Outside Villages,Northeast,3,-122.3164706,47.64543457,5.30E+14,Detached Single-Family
Construction Permit,5,5,MIXED,11/3/2010 8:00,2010,2011,Pike/Pine,Urban Center Village,East,3,-122.316448,47.61506978,5.30E+14,Multifamily Non-Ground Level Dwelling
Construction Permit,6,6,MF,7/25/2016 8:00,2016,2016,Pike/Pine,Urban Center Village,East,3,-122.3146367,47.61606757,5.30E+14,Townhouse
Construction Permit,1,1,SF,6/19/2012 8:00,2012,2013,Outside Villages,Outside Villages,Central,3,-122.3000712,47.61995714,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,2/11/2011 8:00,2011,2012,Outside Villages,Outside Villages,Lake Union,6,-122.326711,47.67067121,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,3/12/2015 8:00,2015,2016,Outside Villages,Outside Villages,Greater Duwamish,2,-122.3144955,47.55494945,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,8/19/2014 8:00,2014,2017,Outside Villages,Outside Villages,North,5,-122.3116912,47.7268193,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,32,32,MIXED,6/11/2016 8:00,2016,2018,Pike/Pine,Urban Center Village,East,3,-122.3231135,47.61334408,5.30E+14,Apartment
Demolition Permit,0,-4,MF,6/2/2016 8:00,2016,2017,Pike/Pine,Urban Center Village,East,3,-122.3231135,47.61334408,5.30E+14,Townhouse
Construction Permit,1,1,SF,2/15/2014 8:00,2014,2014,Outside Villages,Outside Villages,Northwest,5,-122.3526504,47.72205956,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,4/22/2011 8:00,2011,2011,Outside Villages,Outside Villages,North,5,-122.2812141,47.7226863,5.30E+14,"Accessory Dwelling, Attached"
Demolition Permit,0,-1,SF,3/3/2016 8:00,2016,2016,Outside Villages,Outside Villages,Northwest,5,-122.3569847,47.69798642,5.30E+14,Detached Single-Family
Demolition Permit,0,-2,MF,4/21/2006 8:00,2006,2017,Fremont,Hub Urban Village,Lake Union,6,-122.3580524,47.6543521,5.30E+14,Multifamily Other
Demolition Permit,0,-1,SF,1/25/2014 8:00,2014,2014,Outside Villages,Outside Villages,Lake Union,6,-122.358021,47.66523091,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,1/25/2014 8:00,2014,2014,Outside Villages,Outside Villages,Lake Union,6,-122.358021,47.66523091,5.30E+14,Detached Single-Family
Construction Permit,1,1,MIXED,12/7/2010 8:00,2010,2013,Fremont,Hub Urban Village,Lake Union,6,-122.3584572,47.65251039,5.30E+14,Accessory Caretaker
Construction Permit,3,3,MF,3/31/2018 8:00,2018,2019,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3590579,47.64707025,5.30E+14,Rowhouse
Construction Permit,1,1,SF,12/28/2015 8:00,2015,2017,Outside Villages,Outside Villages,Central,3,-122.2967566,47.61938398,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,12/28/2015 8:00,2015,2017,Outside Villages,Outside Villages,Central,3,-122.2967565,47.61945073,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,12/28/2015 8:00,2015,2017,Outside Villages,Outside Villages,Central,3,-122.2967632,47.61950887,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,4/8/2015 8:00,2015,2018,Outside Villages,Outside Villages,Southwest,1,-122.3755387,47.49690815,5.30E+14,Detached Single-Family
Construction Permit,4,4,MF,2/25/2014 8:00,2014,2018,23rd & Union-Jackson,Residential Urban Village,East,3,-122.313127,47.60233345,5.30E+14,Townhouse
Demolition Permit,0,-1,SF,2/25/2014 8:00,2014,2015,23rd & Union-Jackson,Residential Urban Village,East,3,-122.313127,47.60233345,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,9/6/2014 8:00,2014,2016,23rd & Union-Jackson,Residential Urban Village,Central,3,-122.3119469,47.6023814,5.30E+14,Detached Single-Family
Construction Permit,4,4,MF,1/3/2018 8:00,2018,2019,Madison-Miller,Residential Urban Village,East,3,-122.3093401,47.61910649,5.30E+14,Townhouse
Demolition Permit,0,-1,SF,9/19/2017 8:00,2017,2017,Madison-Miller,Residential Urban Village,East,3,-122.3039714,47.61900999,5.30E+14,Detached Single-Family
Construction Permit,3,3,MF,3/30/2015 8:00,2015,2016,23rd & Union-Jackson,Residential Urban Village,Central,3,-122.2992264,47.6010032,5.30E+14,Rowhouse
Demolition Permit,0,-1,SF,3/30/2015 8:00,2015,2016,23rd & Union-Jackson,Residential Urban Village,Central,3,-122.2992264,47.6010032,5.30E+14,Detached Single-Family
Construction Permit,0,-1,MIXED,8/20/2013 8:00,2013,2014,South Lake Union,Urban Center,Lake Union,7,-122.3332845,47.62094152,5.30E+14,Apartment
Construction Permit,8,8,MF,2/6/2014 8:00,2014,2014,Outside Villages,Outside Villages,Southeast,2,-122.2599265,47.49647222,5.30E+14,Congregate Housing
Construction Permit,1,1,SF,1/27/2012 8:00,2012,2014,Outside Villages,Outside Villages,North,5,-122.2788846,47.71646572,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,12/23/2009 8:00,2009,2015,Outside Villages,Outside Villages,North,5,-122.2793288,47.71717104,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,2,2,MF,8/5/2015 8:00,2015,2016,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3582529,47.64722567,5.30E+14,Apartment
Construction Permit,49,49,MIXED,8/23/2016 8:00,2016,2018,Capitol Hill,Urban Center Village,East,3,-122.3190994,47.61946004,5.30E+14,Small Efficiency Dwelling
Demolition Permit,0,-1,SF,6/18/2014 8:00,2014,2015,Outside Villages,Outside Villages,Northwest,6,-122.3569762,47.68201839,5.30E+14,Detached Single-Family
Construction Permit,3,1,MIXED,1/9/2007 8:00,2007,2018,Fremont,Hub Urban Village,Lake Union,6,-122.3583243,47.6543871,5.30E+14,Multifamily Non-Ground Level Dwelling
Construction Permit,237,237,MIXED,12/2/2010 8:00,2010,2012,First Hill,Urban Center Village,East,3,-122.3239986,47.61022319,5.30E+14,Multifamily Non-Ground Level Dwelling
Construction Permit,1,1,SF,6/1/2017 8:00,2017,2018,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3686518,47.63000611,5.30E+14,Detached Single-Family
Construction Permit,88,88,MIXED,1/3/2014 8:00,2014,2017,Pike/Pine,Urban Center Village,East,3,-122.3164247,47.61429909,5.30E+14,Apartment
Construction Permit,1,1,DADU,8/3/2016 8:00,2016,2017,Outside Villages,Outside Villages,Northwest,5,-122.3697356,47.716227,5.30E+14,"Accessory Dwelling, Detached"
Demolition Permit,0,-1,SF,8/9/2017 8:00,2017,2017,Outside Villages,Outside Villages,Northwest,5,-122.3551436,47.71616262,5.30E+14,Detached Single-Family
Construction Permit,7,7,MF,8/9/2017 8:00,2017,2019,Outside Villages,Outside Villages,Northwest,5,-122.3551436,47.71616262,5.30E+14,Rowhouse
Construction Permit,1,1,DADU,10/29/2013 8:00,2013,2015,Outside Villages,Outside Villages,North,5,-122.3047898,47.71589026,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,4/20/2016 8:00,2016,2017,Outside Villages,Outside Villages,North,5,-122.284765,47.71576272,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,5/26/2015 8:00,2015,2016,Outside Villages,Outside Villages,North,5,-122.2917609,47.71577338,5.30E+14,Detached Single-Family
Construction Permit,4,4,MF,5/23/2015 8:00,2015,2016,Outside Villages,Outside Villages,Southwest,1,-122.3834669,47.59298008,5.30E+14,Rowhouse
Construction Permit,131,131,MIXED,9/20/2012 8:00,2012,2014,South Lake Union,Urban Center,Lake Union,7,-122.3328626,47.62414741,5.30E+14,Apartment
Demolition Permit,0,-1,SF,5/1/2006 8:00,2006,2017,Outside Villages,Outside Villages,East,3,-122.2845189,47.63040346,5.30E+14,Detached Single-Family
Construction Permit,1,1,MF,5/22/2014 8:00,2014,2015,12th Avenue,Urban Center Village,East,3,-122.3158335,47.61021798,5.30E+14,Congregate Housing
Demolition Permit,0,-1,SF,11/7/2013 8:00,2013,2015,12th Avenue,Urban Center Village,East,3,-122.3158335,47.61021798,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,10/30/2012 8:00,2012,2013,Outside Villages,Outside Villages,Northwest,5,-122.3137621,47.71468387,5.30E+14,Detached Single-Family
Demolition Permit,0,-1,SF,10/31/2016 8:00,2016,2017,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3693596,47.63426551,5.30E+14,Detached Single-Family
Construction Permit,1,1,MIXED,7/27/2012 8:00,2012,2013,University Campus,Urban Center Village,Northeast,4,-122.3152988,47.65577343,5.30E+14,Congregate Housing
Construction Permit,1,1,SF,7/27/2015 8:00,2015,2016,Lake City,Hub Urban Village,North,5,-122.2926312,47.71598228,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,5/26/2015 8:00,2015,2016,Outside Villages,Outside Villages,North,5,-122.2917584,47.71597366,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,10/16/2013 8:00,2013,2013,Outside Villages,Outside Villages,North,5,-122.306758,47.71629838,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,7/27/2015 8:00,2015,2016,Lake City,Hub Urban Village,North,5,-122.2923556,47.71606061,5.30E+14,Detached Single-Family
Demolition Permit,0,-1,SF,5/8/2015 8:00,2015,2016,Lake City,Hub Urban Village,North,5,-122.2923556,47.71606061,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,6/14/2016 8:00,2016,2017,Outside Villages,Outside Villages,North,5,-122.3123465,47.71640723,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,7/27/2015 8:00,2015,2016,Lake City,Hub Urban Village,North,5,-122.2923636,47.71598442,5.30E+14,Detached Single-Family
Demolition Permit,0,-2,SF,4/28/2008 8:00,2008,2017,Outside Villages,Outside Villages,North,5,-122.3120304,47.71640159,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,6/14/2016 8:00,2016,2017,Outside Villages,Outside Villages,North,5,-122.3120304,47.71640159,5.30E+14,Detached Single-Family
Demolition Permit,0,-2,SF,6/14/2016 8:00,2016,2016,Outside Villages,Outside Villages,North,5,-122.3120304,47.71640159,5.30E+14,Detached Single-Family
Construction Permit,3,3,MF,7/30/2008 8:00,2008,2011,Lake City,Hub Urban Village,North,5,-122.2937513,47.71620344,5.30E+14,Multifamily Ground Level Townhouse
Construction Permit,1,1,SF,8/9/2011 8:00,2011,2014,Outside Villages,Outside Villages,North,5,-122.2895784,47.71619853,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,11/1/2014 8:00,2014,2015,Outside Villages,Outside Villages,Northwest,5,-122.3688735,47.71682057,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,11/1/2014 8:00,2014,2015,Outside Villages,Outside Villages,Northwest,5,-122.3684943,47.71681695,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,6/14/2016 8:00,2016,2017,Outside Villages,Outside Villages,North,5,-122.3123771,47.71643756,5.30E+14,Detached Single-Family
Demolition Permit,0,-4,MF,6/24/2008 8:00,2008,2011,Lake City,Hub Urban Village,North,5,-122.2937915,47.71633174,5.30E+14,Multifamily Ground Level Apartment
Construction Permit,3,3,MF,1/7/2009 8:00,2009,2011,Lake City,Hub Urban Village,North,5,-122.2937915,47.71633174,5.30E+14,Multifamily Ground Level Townhouse
Construction Permit,1,1,SF,10/8/2012 8:00,2012,2013,Outside Villages,Outside Villages,North,5,-122.3107845,47.7164397,5.30E+14,Detached Single-Family
Demolition Permit,0,-1,SF,10/11/2012 8:00,2012,2013,Outside Villages,Outside Villages,North,5,-122.3107845,47.7164397,5.30E+14,Detached Single-Family
Construction Permit,0,-1,ADU,1/5/2012 8:00,2012,2012,Outside Villages,Outside Villages,North,5,-122.3021287,47.71649989,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,DADU,1/5/2012 8:00,2012,2012,Outside Villages,Outside Villages,North,5,-122.3021287,47.71649989,5.30E+14,"Accessory Dwelling, Detached"
Demolition Permit,0,-1,SF,8/9/2011 8:00,2011,2013,Outside Villages,Outside Villages,North,5,-122.2901022,47.71626086,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,1/30/2013 8:00,2013,2014,Outside Villages,Outside Villages,North,5,-122.2901022,47.71626086,5.30E+14,Detached Single-Family
Construction Permit,4,4,MF,7/15/2016 8:00,2016,2019,Lake City,Hub Urban Village,North,5,-122.2931059,47.71658468,5.30E+14,Rowhouse
Demolition Permit,0,-1,MF,7/15/2016 8:00,2016,2017,Lake City,Hub Urban Village,North,5,-122.2931059,47.71658468,5.30E+14,Demolition Only
Construction Permit,2,2,MF,9/24/2008 8:00,2008,2013,Lake City,Hub Urban Village,North,5,-122.2918098,47.71646724,5.30E+14,Multifamily Ground Level Townhouse
Construction Permit,1,1,SF,8/13/2013 8:00,2013,2015,Outside Villages,Outside Villages,North,5,-122.2895878,47.71653401,5.30E+14,Detached Single-Family
Demolition Permit,0,-1,MF,9/24/2008 8:00,2008,2013,Lake City,Hub Urban Village,North,5,-122.2920288,47.71647092,5.30E+14,Multifamily Ground Level Townhouse
Construction Permit,2,2,MF,9/24/2008 8:00,2008,2013,Lake City,Hub Urban Village,North,5,-122.2920288,47.71647092,5.30E+14,Multifamily Ground Level Townhouse
Construction Permit,1,1,DADU,4/22/2016 8:00,2016,2019,Outside Villages,Outside Villages,Northwest,5,-122.3142127,47.71675815,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,2,2,MF,4/9/2017 8:00,2017,2019,Lake City,Hub Urban Village,North,5,-122.2931059,47.71658468,5.30E+14,Townhouse
Construction Permit,1,1,SF,4/9/2017 8:00,2017,2019,Lake City,Hub Urban Village,North,5,-122.2931059,47.71658468,5.30E+14,Detached Single-Family
Construction Permit,2,2,MF,4/9/2017 8:00,2017,2019,Lake City,Hub Urban Village,North,5,-122.2931059,47.71658468,5.30E+14,Townhouse
Construction Permit,1,1,SF,4/9/2017 8:00,2017,2019,Lake City,Hub Urban Village,North,5,-122.2931059,47.71658468,5.30E+14,Detached Single-Family
Construction Permit,2,2,MF,9/24/2008 8:00,2008,2013,Lake City,Hub Urban Village,North,5,-122.2920126,47.71661786,5.30E+14,Multifamily Ground Level Townhouse
Construction Permit,2,2,MF,9/24/2008 8:00,2008,2013,Lake City,Hub Urban Village,North,5,-122.2918245,47.71661224,5.30E+14,Multifamily Ground Level Townhouse
Construction Permit,201,201,MIXED,8/12/2017 8:00,2017,2019,Roosevelt,Residential Urban Village,Northeast,4,-122.3153425,47.67641149,5.30E+14,Apartment
Demolition Permit,0,-3,MF,12/3/2013 8:00,2013,2014,Outside Villages,Outside Villages,North,5,-122.3146188,47.69185606,5.30E+14,Townhouse
Demolition Permit,0,-1,SF,11/9/2016 8:00,2016,2016,Outside Villages,Outside Villages,Northwest,5,-122.3612438,47.71766643,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,11/9/2016 8:00,2016,2018,Outside Villages,Outside Villages,Northwest,5,-122.3612438,47.71766643,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,12/17/2015 8:00,2015,2018,Outside Villages,Outside Villages,Northwest,5,-122.3612438,47.71766643,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,MIXED,8/16/2011 8:00,2011,2012,University District Northwest,Urban Center Village,Northeast,4,-122.3148187,47.66507449,5.30E+14,Multifamily Non-Ground Level Dwelling
Construction Permit,1,1,SF,9/11/2017 8:00,2017,2019,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3727208,47.65053791,5.30E+14,Detached Single-Family
Demolition Permit,0,-1,SF,9/11/2017 8:00,2017,2019,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3727208,47.65053791,5.30E+14,Detached Single-Family
Construction Permit,51,51,MF,4/22/2016 8:00,2016,2019,Capitol Hill,Urban Center Village,East,3,-122.3172192,47.6194055,5.30E+14,Apartment
Construction Permit,36,36,MIXED,6/14/2017 8:00,2017,2021,Capitol Hill,Urban Center Village,East,3,-122.3131117,47.61918556,5.30E+14,Apartment
Construction Permit,1,1,SF,9/6/2014 8:00,2014,2016,23rd & Union-Jackson,Residential Urban Village,Central,3,-122.3117751,47.60238162,5.30E+14,Detached Single-Family
Construction Permit,166,166,MIXED,6/29/2016 8:00,2016,2018,South Lake Union,Urban Center,Lake Union,7,-122.3328232,47.62212885,5.30E+14,Apartment
Construction Permit,1,1,MIXED,1/3/2011 8:00,2011,2012,University Campus,Urban Center Village,Northeast,4,-122.3147494,47.65641586,5.30E+14,Congregate Housing
Construction Permit,3,3,MF,6/23/2016 8:00,2016,2018,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3472619,47.6305294,5.30E+14,Townhouse
Construction Permit,1,1,MIXED,12/16/2010 8:00,2010,2011,First Hill,Urban Center Village,East,3,-122.3266869,47.61136681,5.30E+14,Multifamily Non-Ground Level Dwelling
Construction Permit,1,1,MF,7/18/2014 8:00,2014,2015,12th Avenue,Urban Center Village,East,3,-122.3157994,47.60568766,5.30E+14,Apartment
Construction Permit,44,44,MIXED,4/11/2006 8:00,2006,2024,Wallingford,Residential Urban Village,Lake Union,4,-122.3424678,47.66163994,5.30E+14,Multifamily Non-Ground Level Dwelling
Demolition Permit,0,-1,SF,4/10/2014 8:00,2014,2014,Outside Villages,Outside Villages,Northwest,5,-122.3390929,47.71729778,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,4/10/2014 8:00,2014,2014,Outside Villages,Outside Villages,Northwest,5,-122.3390929,47.71729778,5.30E+14,Detached Single-Family
Demolition Permit,0,-1,SF,9/4/2014 8:00,2014,2014,Outside Villages,Outside Villages,Northwest,5,-122.3367704,47.71788311,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,9/3/2014 8:00,2014,2015,Outside Villages,Outside Villages,Northwest,5,-122.3367704,47.71788311,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,8/12/2013 8:00,2013,2014,Outside Villages,Outside Villages,East,3,-122.3056789,47.63130863,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,12/30/2011 8:00,2011,2013,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3672728,47.63066403,5.30E+14,Detached Single-Family
Construction Permit,1,1,MF,2/20/2013 8:00,2013,2013,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3459295,47.63041146,5.30E+14,Apartment
Construction Permit,105,105,MIXED,3/21/2011 8:00,2011,2012,Pike/Pine,Urban Center Village,East,3,-122.3159332,47.61337617,5.30E+14,Multifamily Non-Ground Level Dwelling
Construction Permit,1,1,SF,12/7/2016 8:00,2016,2017,Outside Villages,Outside Villages,Greater Duwamish,2,-122.3162597,47.57535437,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,7/1/2015 8:00,2015,2016,Outside Villages,Outside Villages,Delridge Neighborhoods,1,-122.3514967,47.5360747,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,8/14/2015 8:00,2015,2016,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3732536,47.64369697,5.30E+14,Detached Single-Family
Construction Permit,296,296,MIXED,1/22/2016 8:00,2016,2018,South Lake Union,Urban Center,Magnolia/Queen Anne,7,-122.3427461,47.63114438,5.30E+14,Apartment
Construction Permit,1,1,ADU,4/22/2013 8:00,2013,2016,Outside Villages,Outside Villages,Lake Union,4,-122.3414267,47.65538328,5.30E+14,"Accessory Dwelling, Attached"
Demolition Permit,0,-1,SF,9/27/2016 8:00,2016,2017,Roosevelt,Residential Urban Village,Northeast,4,-122.3134654,47.67565689,5.30E+14,Detached Single-Family
Construction Permit,42,42,MIXED,10/28/2016 8:00,2016,2018,Roosevelt,Residential Urban Village,Northeast,4,-122.3134654,47.67565689,5.30E+14,Apartment
Construction Permit,1,1,MF,1/4/2017 8:00,2017,2017,Capitol Hill,Urban Center Village,Central,3,-122.3121624,47.61446124,5.30E+14,Apartment
Construction Permit,1,1,SF,10/18/2013 8:00,2013,2014,Crown Hill,Residential Urban Village,Ballard,6,-122.3774598,47.69447273,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,9/9/2016 8:00,2016,2018,Mt Baker,Hub Urban Village,Greater Duwamish,2,-122.3077239,47.58851579,5.30E+14,Detached Single-Family
Demolition Permit,0,-1,SF,9/19/2012 8:00,2012,2013,Ballard,Hub Urban Village,Ballard,6,-122.3781672,47.67424517,5.30E+14,Detached Single-Family
Demolition Permit,0,-1,SF,6/15/2017 8:00,2017,2018,Outside Villages,Outside Villages,North,5,-122.2806019,47.72464387,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,6/9/2017 8:00,2017,2018,Outside Villages,Outside Villages,North,5,-122.2806019,47.72464387,5.30E+14,Detached Single-Family
Demolition Permit,0,-1,SF,6/11/2016 8:00,2016,2016,Madison-Miller,Residential Urban Village,East,3,-122.3044358,47.61953788,5.30E+14,Detached Single-Family
Demolition Permit,0,-1,SF,9/8/2015 8:00,2015,2015,Outside Villages,Outside Villages,Northwest,5,-122.3531836,47.71876765,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,9/8/2015 8:00,2015,2017,Outside Villages,Outside Villages,Northwest,5,-122.3531836,47.71876765,5.30E+14,Detached Single-Family
Construction Permit,2,2,MF,6/23/2016 8:00,2016,2018,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3472419,47.63051205,5.30E+14,Townhouse
Construction Permit,1,1,SF,5/14/2008 8:00,2008,2011,Outside Villages,Outside Villages,North,5,-122.3137259,47.70375493,5.30E+14,Detached Single-Family
Construction Permit,1,1,MIXED,2/19/2014 8:00,2014,2014,Outside Villages,Outside Villages,Northwest,5,-122.3550849,47.71918708,5.30E+14,Accessory Live/Work
Construction Permit,3,3,MF,6/23/2016 8:00,2016,2017,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3474704,47.63056627,5.30E+14,Townhouse
Construction Permit,1,1,MF,2/1/2016 8:00,2016,2017,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3458926,47.6305675,5.30E+14,Apartment
Construction Permit,1,1,DADU,2/26/2015 8:00,2015,2016,South Park,Residential Urban Village,Greater Duwamish,1,-122.3163849,47.52664119,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,5/14/2008 8:00,2008,2011,Outside Villages,Outside Villages,North,5,-122.3135896,47.7037567,5.30E+14,Detached Single-Family
