OBJECTID,GEOID10,TRACT,NAME10,ACRES_TOTAL,GEO_TYPE,Total_Population,White_alone_or_in_combination,Black_or_African_American_alone,American_Indian_and_Alaska_Nati,Asian_alone_or_in_combination,Native_Hawaiian_and_Oth_Pacific,Some_Other_Race_alone_or_combin,Median_Age,Median_Age_Male,Median_Age_Female,Total_Person_of_Color,DIVERSITY_INDEX,POP_UNDER_18,Shape__Area,Shape__Length,Population_Hispanic_or_Latino
79,53033006500,6500,65,283.5684326,Tract,4157,3803,82,61,328,9,50,35.8,36.8,34.8,621,27,441,12352240.92,17921.50078,181
80,53033006600,6600,66,252.5674752,Tract,3540,2974,149,61,424,19,76,33.6,35.3,31.7,818,39,160,11001839.22,23260.80955,212
81,53033006400,6400,64,223.2863155,Tract,3207,2904,149,23,224,13,33,40.3,40.3,40.4,508,29,735,9726351.904,13186.77018,119
82,53033006700,6700,67,304.7206061,Tract,6544,5588,272,84,781,34,116,33.4,33.7,33.1,1424,37,441,13273629.6,19424.01767,326
83,53033006100,6100,61,276.4247743,Tract,4796,4257,113,46,481,16,76,35.3,35.2,35.3,806,30,358,12041063.17,22354.51063,174
84,53033005400,5400,54,296.129535,Tract,4948,4352,151,87,553,7,79,32.8,33.4,32.1,965,34,502,12899402.54,21636.91375,222
85,53033005302,5302,53.02,577.3179162,Tract,5706,3655,168,81,2135,81,82,19.6,19.7,19.5,2639,61,34,25147968.43,33889.31099,289
86,53033011700,11700,117,864.5608413,Tract,5538,1004,1656,150,2902,65,155,37.3,35.6,38.7,4887,66,1344,37660270.25,29886.46296,359
87,53033011800,11800,118,573.9639795,Tract,7383,2029,2897,200,2123,127,531,35.7,35,36.1,5868,75,1786,25001870.95,26212.42907,815
88,53033026400,26400,264,15.90625081,Tract,0,0,0,0,0,0,0,0,0,0,0,74,0,692876.2852,5973.484373,0
89,53033026500,26500,265,100.5019308,Tract,81,29,12,4,26,5,11,41.8,43.5,41.2,57,75,18,4377864.105,11040.29017,18
90,53033011002,11002,110.02,414.167558,Tract,4479,558,1219,80,2677,58,140,35.1,33.4,36,4086,61,1288,18041138.83,22942.93624,187
91,53033011001,11001,110.01,264.5881222,Tract,4534,803,1606,80,2098,65,154,34.9,33.9,35.8,3964,69,1260,11525458.6,16587.98921,290
92,53033011102,11102,111.02,320.707701,Tract,4419,2106,832,69,1311,58,311,38.4,37.6,39.1,2647,73,1054,13970027.46,20411.16896,504
93,53033011101,11101,111.01,284.2559302,Tract,4390,775,1299,68,2233,125,158,38.3,37.5,39.1,3838,68,955,12382188.32,15560.33414,252
94,53033010200,10200,102,688.6424767,Tract,4835,3081,938,85,928,45,91,41.6,41.4,41.9,2115,63,1058,29997266.28,34014.96345,259
95,53033010300,10300,103,410.2449401,Tract,5940,2423,1786,171,1658,61,254,38,37,38.7,3991,75,1255,17870269.59,19550.4206,528
96,53033010401,10401,104.01,399.5265738,Tract,4432,1017,741,90,2722,51,113,39.7,38.4,41.1,3659,61,888,17403377.56,17272.80997,217
97,53033010402,10402,104.02,444.5058882,Tract,4669,1458,521,116,2679,73,188,38.2,36.3,40.7,3588,64,911,19362676.49,20320.4862,364
98,53033009300,9300,93,2341.806557,Tract,2354,1279,280,136,599,24,181,40.8,41.6,39.7,1288,71,244,102009093.6,53536.27783,296
99,53033010001,10001,100.01,571.8336739,Tract,3769,1237,878,72,1481,39,309,37.4,36.3,38.9,2813,75,852,24909074.84,25228.68071,477
100,53033010100,10100,101,616.5090384,Tract,6553,3077,1929,145,1570,47,275,39.3,38.6,39.9,4034,73,1482,26855133.71,26431.92761,560
101,53033009500,9500,95,629.1623441,Tract,5906,3672,1168,133,1168,29,152,41.3,40.8,41.9,2631,63,1279,27406311.71,30363.88847,285
102,53033010002,10002,100.02,234.3109908,Tract,4313,1830,408,104,1865,36,388,38,37.3,38.7,2932,72,707,10206586.76,14049.29102,654
103,53033009400,9400,94,425.7655606,Tract,5700,2312,727,109,2168,34,666,36.5,36.4,36.6,3872,73,901,18546347.82,19268.38526,968
104,53033008900,8900,89,314.3011416,Tract,4829,2622,1650,131,540,52,173,37.1,37.1,37.1,2541,67,900,13690957.73,19330.39761,339
105,53033009000,9000,90,202.799416,Tract,2925,1150,733,67,974,29,187,38.9,37,40.6,2023,75,400,8833942.56,13601.18938,318
106,53033009100,9100,91,103.4917473,Tract,2508,512,366,47,1640,29,60,48,44.6,52.6,2120,56,338,4508100.514,10577.24338,117
107,53033012100,12100,121,422.2941128,Tract,2681,2442,43,53,210,32,64,48.5,48.3,48.6,431,29,493,18395131.55,25850.32236,126
108,53033012000,12000,120,357.684542,Tract,3349,2952,128,85,303,22,80,41.1,40.4,41.6,709,37,668,15580738.65,17328.03008,239
109,53033011402,11402,114.02,293.0956779,Tract,4174,2281,585,187,784,93,548,34.7,34.2,35.1,2469,74,989,12767247.73,17329.73642,986
110,53033011600,11600,116,769.5687554,Tract,6413,5885,158,95,415,25,112,44.9,44.5,45.3,916,26,1184,33522414.98,31928.90216,271
111,53033011300,11300,113,790.5909396,Tract,5984,3705,591,270,1398,141,413,36.1,36,36.3,3004,68,1250,34438141.33,26299.44796,878
